batch_order,general_rank,text,reading_authority,reading_evidence_type,reading_evidence,decision,roles,predicate_frame,standalone_kind,rationale
1,34,讓,moe-concised,trainer-bopomofo,ㄖㄤ4,held-context-dependent,,,,Previously held by manual review in batch 1; a human decision always overrides the automatic rule
2,35,年,moe-concised,trainer-bopomofo,ㄋㄧㄢ2,held-context-dependent,,,,Previously held by manual review in batch 1; a human decision always overrides the automatic rule
3,61,被,cedict-unique,numbered-pinyin,bei4,held-context-dependent,,,,Previously held by manual review in batch 1; a human decision always overrides the automatic rule
4,62,什麼,moe-concised,trainer-bopomofo,ㄕㄣ2 ㄇㄜ5,held-context-dependent,,,,Previously held by manual review in batch 1; a human decision always overrides the automatic rule
5,63,時候,moe-concised,trainer-bopomofo,ㄕ2 ㄏㄡ4,held-context-dependent,,,,Previously held by manual review in batch 1; a human decision always overrides the automatic rule
6,67,等,moe-concised,trainer-bopomofo,ㄉㄥ3,held-context-dependent,,,,Previously held by manual review in batch 1; a human decision always overrides the automatic rule
7,74,次,moe-concised,trainer-bopomofo,ㄘ4,held-context-dependent,,,,Previously held by manual review in batch 1; a human decision always overrides the automatic rule
8,84,覺得,moe-concised,trainer-bopomofo,ㄐㄩㄝ2 ㄉㄜ5,held-context-dependent,,,,Previously held by manual review in batch 1; a human decision always overrides the automatic rule
9,86,天,moe-concised,trainer-bopomofo,ㄊㄧㄢ1,held-context-dependent,,,,Previously held by manual review in batch 1; a human decision always overrides the automatic rule
10,94,月,moe-concised,trainer-bopomofo,ㄩㄝ4,held-context-dependent,,,,Previously held by manual review in batch 1; a human decision always overrides the automatic rule
11,122,一些,moe-concised,trainer-bopomofo,ㄧ1 ㄒㄧㄝ1,held-context-dependent,,,,Previously held by manual review in batch 1; a human decision always overrides the automatic rule
12,126,元,moe-concised,trainer-bopomofo,ㄩㄢ2,held-context-dependent,,,,Previously held by manual review in batch 1; a human decision always overrides the automatic rule
13,137,裡面,moe-concised,trainer-bopomofo,ㄌㄧ3 ㄇㄧㄢ4,held-context-dependent,,,,Previously held by manual review in batch 1; a human decision always overrides the automatic rule
14,148,歲,moe-concised,trainer-bopomofo,ㄙㄨㄟ4,held-context-dependent,,,,Previously held by manual review in batch 1; a human decision always overrides the automatic rule
15,158,名,moe-concised,trainer-bopomofo,ㄇㄧㄥ2,held-context-dependent,,,,Previously held by manual review in batch 1; a human decision always overrides the automatic rule
16,164,認為,moe-concised,trainer-bopomofo,ㄖㄣ4 ㄨㄟ2,held-context-dependent,,,,Previously held by manual review in batch 1; a human decision always overrides the automatic rule
17,172,其,cedict-unique,numbered-pinyin,qi2,held-context-dependent,,,,Previously held by manual review in batch 1; a human decision always overrides the automatic rule
18,220,件,moe-concised,trainer-bopomofo,ㄐㄧㄢ4,held-context-dependent,,,,Previously held by manual review in batch 1; a human decision always overrides the automatic rule
19,228,請,cedict-unique,numbered-pinyin,qing3,held-context-dependent,,,,Previously held by manual review in batch 1; a human decision always overrides the automatic rule
20,251,無法,moe-concised,trainer-bopomofo,ㄨ2 ㄈㄚ3,held-context-dependent,,,,Previously held by manual review in batch 1; a human decision always overrides the automatic rule
21,288,指出,moe-concised,trainer-bopomofo,ㄓ3 ㄔㄨ1,held-context-dependent,,,,Previously held by manual review in batch 1; a human decision always overrides the automatic rule
22,301,條,moe-concised,trainer-bopomofo,ㄊㄧㄠ2,held-context-dependent,,,,Previously held by manual review in batch 1; a human decision always overrides the automatic rule
23,307,放,cedict-unique,numbered-pinyin,fang4,held-context-dependent,,,,Previously held by manual review in batch 1; a human decision always overrides the automatic rule
24,319,其中,moe-revised,trainer-bopomofo,ㄑㄧ2 ㄓㄨㄥ1,held-context-dependent,,,,Previously held by manual review in batch 1; a human decision always overrides the automatic rule
25,323,使,moe-concised,trainer-bopomofo,ㄕ3,held-context-dependent,,,,Previously held by manual review in batch 1; a human decision always overrides the automatic rule
26,325,決定,moe-concised,trainer-bopomofo,ㄐㄩㄝ2 ㄉㄧㄥ4,held-context-dependent,,,,Previously held by manual review in batch 1; a human decision always overrides the automatic rule
27,330,國際,moe-concised,trainer-bopomofo,ㄍㄨㄛ2 ㄐㄧ4,held-context-dependent,,,,Previously held by manual review in batch 1; a human decision always overrides the automatic rule
28,346,項,moe-concised,trainer-bopomofo,ㄒㄧㄤ4,held-context-dependent,,,,Previously held by manual review in batch 1; a human decision always overrides the automatic rule
29,351,起來,moe-concised,trainer-bopomofo,ㄑㄧ3 ㄌㄞ2,held-context-dependent,,,,Previously held by manual review in batch 1; a human decision always overrides the automatic rule
30,352,誰,moe-concised,trainer-bopomofo,ㄕㄟ2,held-context-dependent,,,,Previously held by manual review in batch 1; a human decision always overrides the automatic rule
