batch_order,general_rank,text,reading_authority,reading_evidence_type,reading_evidence,decision,roles,predicate_frame,standalone_kind,rationale
26,158,名,moe-concised,trainer-bopomofo,ㄇㄧㄥ2,held-template-gap,,,,Dominant use is a person classifier and current templates have no quantified-noun construction
27,164,認為,moe-concised,trainer-bopomofo,ㄖㄣ4 ㄨㄟ2,held-template-gap,,,,Predicate normally selects a clausal proposition complement absent from current templates
28,166,重要,moe-concised,trainer-bopomofo,ㄓㄨㄥ4 ㄧㄠ4,approved-existing-schema,adjectival-predicate,adjectival,lexical-prompt,Common predicative adjective fits the subject plus adjectival template
29,171,美國,moe-revised,trainer-bopomofo,ㄇㄟ3 ㄍㄨㄛ2,approved-existing-schema,subject;object,none,lexical-prompt,Reviewed place name can fill existing subject and object slots
30,172,其,cedict-unique,numbered-pinyin,qi2,held-context-dependent,,,,Literary possessive or determiner use normally requires a following nominal context
31,178,中國,moe-revised,trainer-bopomofo,ㄓㄨㄥ1 ㄍㄨㄛ2,approved-existing-schema,subject;object,none,lexical-prompt,Reviewed place name can fill existing subject and object slots
32,179,政府,moe-concised,trainer-bopomofo,ㄓㄥ4 ㄈㄨ3,approved-existing-schema,subject;object,none,lexical-prompt,Institutional common noun can fill existing subject and object slots
33,181,社會,moe-concised,trainer-bopomofo,ㄕㄜ4 ㄏㄨㄟ4,approved-existing-schema,subject;object,none,lexical-prompt,Abstract common noun can fill existing subject and object slots
34,182,世界,moe-concised,trainer-bopomofo,ㄕ4 ㄐㄧㄝ4,approved-existing-schema,subject;object,none,lexical-prompt,Common noun can fill existing subject and object slots
35,186,活動,moe-concised,trainer-bopomofo,ㄏㄨㄛ2 ㄉㄨㄥ4,approved-existing-schema,subject;object,none,lexical-prompt,Dominant nominal use can fill existing subject and object slots
36,187,公司,moe-concised,trainer-bopomofo,ㄍㄨㄥ1 ㄙ1,approved-existing-schema,subject;object,none,lexical-prompt,Organization noun can fill existing subject and object slots
37,192,民眾,moe-concised,trainer-bopomofo,ㄇㄧㄣ2 ㄓㄨㄥ4,approved-existing-schema,subject;object,none,lexical-prompt,Animate collective noun can fill existing subject and object slots
38,194,不同,moe-concised,trainer-bopomofo,ㄅㄨ4 ㄊㄨㄥ2,approved-existing-schema,adjectival-predicate,adjectival,lexical-prompt,Common predicative adjective fits the subject plus adjectival template
39,198,關係,moe-concised,trainer-bopomofo,ㄍㄨㄢ1 ㄒㄧ4,approved-existing-schema,subject;object,none,lexical-prompt,Common noun can fill existing subject and object slots
40,200,能夠,moe-concised,trainer-bopomofo,ㄋㄥ2 ㄍㄡ4,approved-existing-schema,modal,modal,lexical-prompt,Ability modal fits existing modal templates
41,203,不能,moe-concised,trainer-bopomofo,ㄅㄨ4 ㄋㄥ2,approved-existing-schema,modal,modal,lexical-prompt,Negative ability modal fits existing modal templates
42,204,事情,moe-concised,trainer-bopomofo,ㄕ4 ㄑㄧㄥ2,approved-existing-schema,subject;object,none,lexical-prompt,Common noun can fill existing subject and object slots
43,205,最後,moe-concised,trainer-bopomofo,ㄗㄨㄟ4 ㄏㄡ4,approved-existing-schema,temporal,none,lexical-prompt,Reviewed temporal use can fill existing temporal slots
44,211,國家,moe-concised,trainer-bopomofo,ㄍㄨㄛ2 ㄐㄧㄚ1,approved-existing-schema,subject;object,none,lexical-prompt,Common noun can fill existing subject and object slots
45,214,方式,moe-concised,trainer-bopomofo,ㄈㄤ1 ㄕ4,approved-existing-schema,subject;object,none,lexical-prompt,Common noun can fill existing subject and object slots
46,219,必須,moe-concised,trainer-bopomofo,ㄅㄧ4 ㄒㄩ1,approved-existing-schema,modal,modal,lexical-prompt,Obligation modal fits existing modal templates
47,220,件,moe-concised,trainer-bopomofo,ㄐㄧㄢ4,held-template-gap,,,,Classifier use requires a numeral or quantified-noun construction absent from current templates
48,228,請,cedict-unique,numbered-pinyin,qing3,held-lexical-ambiguity,,,,Candidate mixes polite discourse marker ask and invite uses requiring different constructions
49,230,走,moe-concised,trainer-bopomofo,ㄗㄡ3,approved-existing-schema,intransitive-predicate,intransitive,lexical-prompt,Reviewed objectless motion predicate fits existing intransitive templates
50,234,環境,moe-concised,trainer-bopomofo,ㄏㄨㄢ2 ㄐㄧㄥ4,approved-existing-schema,subject;object,none,lexical-prompt,Common noun can fill existing subject and object slots
