text,reading,roles,predicate_frame,standalone_kind,provenance_ids
是,ㄕ4,modal,modal,lexical-prompt,local:naer-top-10000-generation-v1
有,ㄧㄡ3,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
人,ㄖㄣ2,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
讓,ㄖㄤ4,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
年,ㄋㄧㄢ2,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
到,ㄉㄠ4,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
沒有,ㄇㄟ2 ㄧㄡ3,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
去,ㄑㄩ4,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
做,ㄗㄨㄛ4,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
能,ㄋㄥ2,modal,modal,lexical-prompt,local:naer-top-10000-generation-v1
被,ㄅㄟ4,modal,modal,lexical-prompt,local:naer-top-10000-generation-v1
什麼,ㄕㄣ2 ㄇㄜ5,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
時候,ㄕ2 ㄏㄡ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
等,ㄉㄥ3,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
這樣,ㄓㄜ4 ㄧㄤ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
用,ㄩㄥ4,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
次,ㄘ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
想,ㄒㄧㄤ3,modal,modal,lexical-prompt,local:naer-top-10000-generation-v1
覺得,ㄐㄩㄝ2 ㄉㄜ5,intransitive-predicate,intransitive,lexical-prompt,local:naer-top-10000-generation-v1
天,ㄊㄧㄢ1,temporal,none,lexical-prompt,local:naer-top-10000-generation-v1
像,ㄒㄧㄤ4,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
可能,ㄎㄜ3 ㄋㄥ2,modal,modal,lexical-prompt,local:naer-top-10000-generation-v1
月,ㄩㄝ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
表示,ㄅㄧㄠ3 ㄕ4,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
