batch_order,general_rank,text,reading_authority,reading_evidence_type,reading_evidence,review_lane,occurrence_count,dominant_upos,upos_counts,dependency_relation_counts,root_count,verb_object_frame,review_status
1,6,我,moe-concised,trainer-bopomofo,ㄨㄛ3,nominal-evidence,36,PRON,PRON=36,compound=1;det=7;nmod=4;nsubj=20;obj=4,0,,pending
2,12,他,moe-concised,trainer-bopomofo,ㄊㄚ1,nominal-evidence,577,PRON,PRON=577,det=97;iobj=5;nmod=34;nsubj=384;nsubj:pass=17;obj=24;obl=9;obl:patient=5;xcomp=2,0,,pending
3,15,你,moe-concised,trainer-bopomofo,ㄋㄧ3,nominal-evidence,20,PRON,NOUN=1;PRON=19,det=7;iobj=1;nmod=1;nsubj=8;obj=2;obl=1,0,,pending
4,28,她,moe-concised,trainer-bopomofo,ㄊㄚ1,nominal-evidence,166,PRON,PRON=166,det=25;iobj=2;nmod=12;nsubj=107;nsubj:pass=7;obj=6;obl=6;obl:patient=1,0,,pending
5,31,它,moe-concised,trainer-bopomofo,ㄊㄚ1,nominal-evidence,89,PRON,PRON=89,det=26;nmod=7;nsubj=45;obj=7;obl=1;obl:patient=2;parataxis=1,0,,pending
6,34,讓,moe-concised,trainer-bopomofo,ㄖㄤ4,verbal-evidence,50,VERB,PROPN=1;VERB=49,acl:relcl=3;advcl=7;appos=1;ccomp=4;conj=2;parataxis=5;root=17;xcomp=11,17,mixed-object-evidence,pending
7,35,年,moe-concised,trainer-bopomofo,ㄋㄧㄢ2,nominal-evidence,1564,NOUN,NOUN=1558;PART=6,acl=2;advcl=1;appos=43;clf=517;compound=11;conj=49;nmod=143;nmod:tmod=452;nsubj=4;obj=46;obl=281;parataxis=13;root=1;xcomp=1,1,,pending
8,44,自己,moe-concised,trainer-bopomofo,ㄗ4 ㄐㄧ3,nominal-evidence,91,PRON,PRON=91,appos=4;compound=1;conj=1;nmod=49;nsubj=21;obj=11;obl=2;obl:patient=1;parataxis=1,0,,pending
9,46,他們,moe-concised,trainer-bopomofo,ㄊㄚ1 ㄇㄣ5,nominal-evidence,118,PRON,PRON=118,appos=1;det=26;nmod=15;nsubj=65;nsubj:pass=1;obj=8;obl=1;obl:patient=1,0,,pending
10,61,被,cedict-unique,numbered-pinyin,bei4,auxiliary-evidence,412,AUX,AUX=412,aux:pass=412,0,,pending
11,62,什麼,moe-concised,trainer-bopomofo,ㄕㄣ2 ㄇㄜ5,nominal-evidence,13,PRON,PRON=13,det=3;nmod=4;nsubj=2;obj=2;obl=2,0,,pending
12,63,時候,moe-concised,trainer-bopomofo,ㄕ2 ㄏㄡ4,nominal-evidence,33,NOUN,NOUN=33,conj=2;nmod=4;nmod:tmod=9;nsubj=1;obj=4;obl=13,0,,pending
13,67,等,moe-concised,trainer-bopomofo,ㄉㄥ3,nominal-evidence,235,NOUN,NOUN=231;PART=1;VERB=3,acl=208;acl:relcl=1;case=1;ccomp=1;compound=9;obl=10;root=4;xcomp=1,4,mixed-object-evidence,pending
14,74,次,moe-concised,trainer-bopomofo,ㄘ4,nominal-evidence,157,NOUN,NOUN=149;NUM=1;PART=3;VERB=4,acl:relcl=1;advcl=1;case=3;clf=69;nmod=8;nsubj=1;nummod=1;obj=3;obl=67;parataxis=1;root=2,2,mixed-object-evidence,pending
15,84,覺得,moe-concised,trainer-bopomofo,ㄐㄩㄝ2 ㄉㄜ5,verbal-evidence,7,VERB,VERB=7,advcl=3;ccomp=1;parataxis=1;xcomp=2,0,objectless-only,pending
16,86,天,moe-concised,trainer-bopomofo,ㄊㄧㄢ1,nominal-evidence,34,NOUN,NOUN=30;NUM=2;PART=2,appos=2;clf=1;nmod=2;nmod:tmod=14;nsubj=4;nummod=2;obj=2;obl=7,0,,pending
17,94,月,moe-concised,trainer-bopomofo,ㄩㄝ4,nominal-evidence,605,NOUN,NOUN=604;PART=1,appos=1;clf=373;compound=4;conj=14;nmod=20;nmod:tmod=126;nsubj=2;obj=17;obl=47;xcomp=1,0,,pending
18,122,一些,moe-concised,trainer-bopomofo,ㄧ1 ㄒㄧㄝ1,adjectival-evidence,73,ADJ,ADJ=72;NUM=1,advcl=2;amod=69;nsubj=1;nummod=1,0,,pending
19,126,元,moe-concised,trainer-bopomofo,ㄩㄢ2,nominal-evidence,70,NOUN,ADJ=1;NOUN=58;PART=6;PROPN=5,acl=6;acl:relcl=2;advcl=3;amod=1;clf=3;compound=4;conj=1;csubj=3;flat:name=1;nmod=19;nmod:tmod=1;nsubj=2;obj=18;obl=2;obl:patient=1;parataxis=3,0,,pending
20,134,地方,moe-concised,trainer-bopomofo,ㄉㄧ4 ㄈㄤ1,nominal-evidence,51,NOUN,NOUN=51,appos=3;ccomp=2;compound=2;conj=2;nmod=24;nsubj=4;nsubj:pass=1;obj=11;obl=2,0,,pending
21,136,孩子,moe-concised,trainer-bopomofo,ㄏㄞ2 ㄗ5,nominal-evidence,11,NOUN,NOUN=11,conj=1;nmod=2;nsubj=2;obj=3;obl=1;root=2,2,,pending
22,137,裡面,moe-concised,trainer-bopomofo,ㄌㄧ3 ㄇㄧㄢ4,nominal-evidence,5,NOUN,ADP=1;NOUN=4,case=1;nmod=1;nsubj=1;obj=1;obl=1,0,,pending
23,141,一樣,moe-concised,trainer-bopomofo,ㄧ1 ㄧㄤ4,adjectival-evidence,29,ADJ,ADJ=29,acl=1;acl:relcl=1;advcl=15;advmod=1;amod=2;ccomp=2;parataxis=2;root=2;xcomp=3,2,,pending
24,145,不會,moe-concised,trainer-bopomofo,ㄅㄨ4 ㄏㄨㄟ4,auxiliary-evidence,24,AUX,AUX=24,aux=23;ccomp=1,0,,pending
25,148,歲,moe-concised,trainer-bopomofo,ㄙㄨㄟ4,nominal-evidence,63,NOUN,NOUN=63,acl:relcl=1;ccomp=1;clf=4;csubj=3;nmod=20;nmod:tmod=14;obj=10;obl=8;root=2,2,,pending
26,158,名,moe-concised,trainer-bopomofo,ㄇㄧㄥ2,nominal-evidence,137,NOUN,NOUN=128;PART=6;VERB=3,acl=3;advcl=4;appos=1;case=1;ccomp=7;clf=57;csubj=1;nmod=22;nsubj=22;nsubj:outer=1;obj=11;obl=2;parataxis=3;root=2,2,mixed-object-evidence,pending
27,164,認為,moe-concised,trainer-bopomofo,ㄖㄣ4 ㄨㄟ2,verbal-evidence,86,VERB,VERB=86,acl=1;acl:relcl=4;advcl=8;ccomp=9;conj=1;csubj=1;parataxis=11;root=47;xcomp=4,47,objectless-only,pending
